Prospect Name,RSS Feed,Data Source,Last Scrape Status,Last Scrape Timestamp,Country,Domain,Status,Existing newsletter?,Person,Date sent,Replied,Comments
IMPRI Impact and Policy Research Institute,https://swelbyboy.github.io/prospect-rss-feeds/impri-impact-and-policy-research-institute.xml,OG,success,2025-12-02 11:42:21,India,impriindia.com,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Hauterrfly,https://swelbyboy.github.io/prospect-rss-feeds/hauterrfly.xml,OG,success,2025-12-02 11:58:10,India,hauterrfly.com,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
That Grape Juice,https://swelbyboy.github.io/prospect-rss-feeds/that-grape-juice.xml,OG,success,2025-12-02 11:58:21,United Kingdom,thatgrapejuice.net,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Auto Bild,https://swelbyboy.github.io/prospect-rss-feeds/auto-bild.xml,OG,success,2025-12-02 11:58:15,Romania,auto-bild.ro,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Law Officer,-,N/A,-,,United States,lawofficer.com,No feed generated,TRUE,,,FALSE,RSS discovery attempted - no feed found
Kimura.se,https://swelbyboy.github.io/prospect-rss-feeds/kimura-se.xml,OG,success,2025-12-02 11:42:23,Sweden,kimura.se,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Bochnianin.pl,https://swelbyboy.github.io/prospect-rss-feeds/bochnianin-pl.xml,OG,success,2025-12-02 11:58:15,Poland,bochnianin.pl,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
RMN News,https://swelbyboy.github.io/prospect-rss-feeds/rmn-news.xml,OG,success,2025-12-02 11:58:15,Philippines,rmn.ph,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Barendrechts Dagblad,https://swelbyboy.github.io/prospect-rss-feeds/barendrechts-dagblad.xml,OG,success,2025-12-02 11:58:14,Netherlands,barendrechtsdagblad.nl,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
ROSA,-,N/A,-,,Greece,rosa.gr,No feed generated,TRUE,,,FALSE,RSS discovery attempted - no feed found
eduline.hu,https://swelbyboy.github.io/prospect-rss-feeds/eduline-hu.xml,OG,success,2025-12-02 11:58:22,Hungary,eduline.hu,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Metrosport,https://swelbyboy.github.io/prospect-rss-feeds/metrosport.xml,OG,success,2025-12-02 11:58:21,Greece,metrosport.gr,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Peoples Dispatch,https://swelbyboy.github.io/prospect-rss-feeds/peoples-dispatch.xml,OG,success,2025-12-02 11:58:17,India,peoplesdispatch.org,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Yerel Güç,https://swelbyboy.github.io/prospect-rss-feeds/yerel-güç.xml,OG,success,2025-12-02 11:58:19,Turkey,yerelguc.com,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Su Hakki!,https://swelbyboy.github.io/prospect-rss-feeds/su-hakki.xml,OG,success,2025-12-02 11:58:28,Turkey,suhakki.org,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Biała24,-,N/A,-,,Poland,bp24.pl,No feed generated,TRUE,,,FALSE,RSS discovery attempted - no feed found
Εφημερίδα Μακεδονία,https://swelbyboy.github.io/prospect-rss-feeds/εφημερίδα-μακεδονία.xml,OG,success,2025-12-02 11:58:20,Greece,makthes.gr,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Autopro.hu,https://swelbyboy.github.io/prospect-rss-feeds/autopro-hu.xml,OG,success,2025-12-02 11:58:26,Hungary,autopro.hu,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Gaziantep27,https://swelbyboy.github.io/prospect-rss-feeds/gaziantep27.xml,OG,success,2025-12-02 11:58:22,Turkey,gaziantep27.net,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
VårtOslo,-,N/A,-,,Norway,vartoslo.no,No feed generated,TRUE,,,FALSE,RSS discovery attempted - no feed found
newsbucuresti.ro,https://swelbyboy.github.io/prospect-rss-feeds/newsbucuresti-ro.xml,OG,success,2025-12-02 11:58:27,Romania,newsbucuresti.ro,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
VARINDIA IT Magazine,-,N/A,-,,India,varindia.com,No feed generated,TRUE,,,FALSE,RSS discovery attempted - no feed found
Știrile Transilvaniei,https://swelbyboy.github.io/prospect-rss-feeds/știrile-transilvaniei.xml,OG,success,2025-12-02 11:42:47,Romania,stiriletransilvaniei.ro,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Absolute India News,-,N/A,-,,India,absoluteindianews.com,No feed generated,TRUE,,,FALSE,RSS discovery attempted - no feed found
Gazeta de Cluj,https://swelbyboy.github.io/prospect-rss-feeds/gazeta-de-cluj.xml,OG,success,2025-12-02 11:58:28,Romania,gazetadecluj.ro,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Ziua de Vest,https://swelbyboy.github.io/prospect-rss-feeds/ziua-de-vest.xml,OG,success,2025-12-02 11:58:26,Romania,ziuadevest.ro,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Новите родители,https://swelbyboy.github.io/prospect-rss-feeds/новите-родители.xml,OG,success,2025-12-02 11:58:24,Bulgaria,noviteroditeli.bg,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
Body Armor News,https://swelbyboy.github.io/prospect-rss-feeds/body-armor-news.xml,OG,success,2025-12-02 11:42:36,Netherlands,bodyarmornews.com,To Do,TRUE,,,FALSE,Has existing newsletter - not searched for RSS yet
