Record ID,Company Name,Company Owner,City,Country,Has Newsletter,Website URL,LinkedIn Company Page,RSS Feed URL
3074646189,Healthy Foods and Herbal Medicines,Sander Lammers,,United States,No,http://www.herbs-info.com,,https://swelbyboy.github.io/prospect-rss-feeds/healthy-foods-and-herbal-medicines.xml
2969782671,Awesome Inventions,Rory Hunter,London,United Kingdom,No,http://www.awesomeinventions.com,https://www.linkedin.com/company/awesome-inventions-limited,https://swelbyboy.github.io/prospect-rss-feeds/awesome-inventions.xml
,9to5 Mac 9to5Google,,,,,http://9to5google.com,,https://swelbyboy.github.io/prospect-rss-feeds/9to5-mac-9to5google.xml
9445920658,Wish TV,Damian Domanski,Indianapolis,United States,No,http://www.wishtv.com,https://www.linkedin.com/company/wish-tv,https://swelbyboy.github.io/prospect-rss-feeds/wish-tv.xml
3421173861,Wrestling News Source,Rory Hunter,Virginia Beach,United Kingdom,No,http://www.wrestlingnewssource.com,,https://swelbyboy.github.io/prospect-rss-feeds/wrestling-news-source.xml
7392218655,Brownwood News,Rory Hunter,Brownwood,United States,No,http://www.brownwoodnews.com,https://www.linkedin.com/company/brownwoodnews,https://swelbyboy.github.io/prospect-rss-feeds/brownwood-news.xml
,9to5 Mac Electrek,,,,,http://electrek.co,,https://swelbyboy.github.io/prospect-rss-feeds/9to5-mac-electrek.xml
2969989757,KitGuru,Rory Hunter,Newtownabbey,United Kingdom,No,http://www.kitguru.net,,https://swelbyboy.github.io/prospect-rss-feeds/kitguru.xml
8275138347,WNWS Radio,Rory Hunter,Jackson,United States,No,http://www.wnws.com,https://www.linkedin.com/company/wnws,https://swelbyboy.github.io/prospect-rss-feeds/wnws-radio.xml
,Ozark Radio News,,,,,http://ozarkradionews.com,,https://swelbyboy.github.io/prospect-rss-feeds/ozark-radio-news.xml
3235469375,Rap-Up,Rory Hunter,Los Angeles,United States,No,http://www.rap-up.com,,https://swelbyboy.github.io/prospect-rss-feeds/rap-up.xml
4015639640,WTVideo,Sander Lammers,,United States,No,http://www.wtvideo.com,,https://swelbyboy.github.io/prospect-rss-feeds/wtvideo.xml
4015663542,Flickering Myth,Rory Hunter,South Shields,United Kingdom,No,http://www.flickeringmyth.com,https://www.linkedin.com/company/flickering-myth,https://swelbyboy.github.io/prospect-rss-feeds/flickering-myth.xml
7542516336,Sister2Sister,Rory Hunter,,United States,No,http://www.sis2sis.com,,https://swelbyboy.github.io/prospect-rss-feeds/sister2sister.xml
,World War Wings,,,,,http://worldwarwings.com,,https://swelbyboy.github.io/prospect-rss-feeds/world-war-wings.xml
4015714957,美國之音中文網,Rory Hunter,Washington,United States,No,http://www.voacantonese.com,,https://swelbyboy.github.io/prospect-rss-feeds/美國之音中文網.xml
4445925280,RMNB,Rory Hunter,Frederick,United States,No,http://www.russianmachineneverbreaks.com,,https://swelbyboy.github.io/prospect-rss-feeds/rmnb.xml
,ArtistRack,,,,,http://artistrack.com,,https://swelbyboy.github.io/prospect-rss-feeds/artistrack.xml
4333575322,Dusty Old Thing,Sander Lammers,,United States,No,http://www.dustyoldthing.com,,https://swelbyboy.github.io/prospect-rss-feeds/dusty-old-thing.xml
4556185583,Church and State,Rory Hunter,London,United Kingdom,No,http://www.churchandstate.org.uk,,https://swelbyboy.github.io/prospect-rss-feeds/church-and-state.xml
,WaCow Media,,,,,http://wacowla.com,,https://swelbyboy.github.io/prospect-rss-feeds/wacow-media.xml
,Golin,,,,,http://golin.com,,https://swelbyboy.github.io/prospect-rss-feeds/golin.xml
,NUFC Blog,,,,,http://nufcblog.co.uk,,https://swelbyboy.github.io/prospect-rss-feeds/nufc-blog.xml
,DefenseTalk,,,,,http://defencetalk.com,,https://swelbyboy.github.io/prospect-rss-feeds/defensetalk.xml
4931487839,NFL Trade Rumors,Sander Lammers,,United States,No,http://www.nfltraderumors.co,https://www.linkedin.com/company/nfl-trade-rumors,https://swelbyboy.github.io/prospect-rss-feeds/nfl-trade-rumors.xml
4871942973,theJasmineBRAND,Rory Hunter,Beverly Hills,United States,No,http://www.thejasminebrand.com,,https://swelbyboy.github.io/prospect-rss-feeds/thejasminebrand.xml
,Gun Pro Plus,,,,,http://gunproplus.com,,https://swelbyboy.github.io/prospect-rss-feeds/gun-pro-plus.xml
,"Gamezebo, Inc.",,,,,http://gamezebo.com,,https://swelbyboy.github.io/prospect-rss-feeds/gamezebo--inc.xml
6521844507,Sarah Palin,Rory Hunter,,United States,No,http://www.sarahpalin.com,,https://swelbyboy.github.io/prospect-rss-feeds/sarah-palin.xml
,Grantham Matters Media,,,,,http://granthammatters.co.uk,,https://swelbyboy.github.io/prospect-rss-feeds/grantham-matters-media.xml
6692376388,Mad World News,Rory Hunter,Greencastle,United States,No,http://www.madworldnews.com,,https://swelbyboy.github.io/prospect-rss-feeds/mad-world-news.xml
,Noticias de Puerto Rico,,,,,http://noticiapr.com,,https://swelbyboy.github.io/prospect-rss-feeds/noticias-de-puerto-rico.xml
6445750914,Natchitoches Parish Journal,Damian Domanski,,United States,No,http://www.natchitochesparishjournal.com,,https://swelbyboy.github.io/prospect-rss-feeds/natchitoches-parish-journal.xml
,Walo Radio,,,,,http://waloradio.com,,https://swelbyboy.github.io/prospect-rss-feeds/walo-radio.xml
6752034100,Radio Isla - Puerto Rico,Sander Lammers,,United States,No,http://www.radioisla.tv,,https://swelbyboy.github.io/prospect-rss-feeds/radio-isla---puerto-rico.xml
8875837995,SwingCompleto,Sander Lammers,Bristol,United States,No,http://www.swingcompleto.com,https://www.linkedin.com/company/swingcompleto,https://swelbyboy.github.io/prospect-rss-feeds/swingcompleto.xml
